No.,Player,Performance,Market Value,90s,Nation,Pos,Squad,Age,Born,Matches,Starts,Minutes,Goals,Assists,Goals+Assists,Non Penalty Goals,Penalty Kicks,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,npxG+xAG,PrgC,PrgC/90,PrgP,PrgP/90,PrgR,PrgR/90,Gls P90,Ast P90,G+A P90,G-PK P90,G+A-PK P90,Xg P90,xAG P90,xG+xAG P90,npxG P90,npxG+xAG P90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot Dist,FK,PK,PKatt,npxG/Sh,G-xG,np:G-xG,Passes Comp,Passes Comp/90,Passes Att,Cmp%,TotDist,TotDist/90,PrgDist,PrgDist/90,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,xA,A-xAG,KP,KP/90,finalThirdPasses,final3rdPasses/90,PenAreaPasses,PenAreaPasses/90,CrsPA,CrsPA/90,Live,Live/90,Dead,Dead/90,FK,Through,Through/90,Switches,Switches/90,Crosses,Crosses/90,Throw ins,Corners,Passes Off,Passes Blocked,SCA,SCA90,PassLive,PassDead,Take ons,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Tkl+Int,Tkl+Int/90,Clr,Clr/90,Err eading to shots,Touches,Touches/90,T Def Pen,T Def Pen/90,T Def 3rd,T Def 3rd/90,T Mid 3rd,T Mid 3rd/90,T Att 3rd,T Att 3rd/90,T Att Pen,T Att Pen/90,T Live,TO Att,TO Succ,TO Succ%,Tkld,Tkld%,Carries,Carries/90,FINAL 3RD CARRIES,FINAL 3RD CARRIES/90,CPA,Mis,Dis,PASS Rec,PASS Rec/90,Prg PASS REC,PKwon,PKcon,OG,AD Won,AD Lost,Won%,GoalsAg,GoalsAg90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,PKA,FK G ag,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,GKCmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Brenden Aaronson,6.54,18,26.4,us USA,MF,Leeds United,21,2000,36,28,"2,372",1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,1.63,86,3.26,151,5.72,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31,41,9,22,1.56,0.34,0.02,0.11,18.4,2,0,0,0.09,-2.9,-2.9,592,22.42,797,74.3,7577,287.01,2182,82.65,346,423,81.8,150,195,76.9,25,65,38.5,2.6,-1.2,46,1.74,47,1.78,16,0.61,4,0.15,711,26.93,85,3.22,26,8,0.3,2,0.08,72,2.73,5,38,1,27,95,3.6,57,17,7,7,0.27,45,18,16,22,7,43,50,1.89,6,0.23,1,1143,43.3,12,0.45,116,4.39,495,18.75,554,20.98,72,2.73,1143,100,34,34,48,48,686,25.98,34,1.29,13,71,82,767,29.05,151,0,0,0,8,39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Che Adams,6.67,18,22.1,sct SCO,FW,Southampton,26,1996,28,23,"1,992",5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,0.77,34,1.54,115,5.2,0.23,0.14,0.36,0.23,0.36,0.3,0.13,0.42,0.3,0.42,47,14,29.8,2.12,0.63,0.11,0.36,13.8,0,0,0,0.14,-1.6,-1.6,330,14.93,498,66.3,4651,210.45,1042,47.15,205,278,73.7,78,118,66.1,26,37,70.3,2.2,0.2,24,1.09,21,0.95,11,0.5,2,0.09,490,22.17,7,0.32,0,6,0.27,7,0.32,12,0.54,4,0,1,17,57,2.57,44,1,2,7,0.32,17,13,7,8,2,13,21,0.95,22,1,0,717,32.44,29,1.31,66,2.99,286,12.94,377,17.06,103,4.66,717,33,16,48.5,13,39.4,405,18.33,11,0.5,9,66,28,558,25.25,115,0,0,0,61,103,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Tyler Adams,6.7,20,24,us USA,MF,Leeds United,23,1999,24,24,"2,156",0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,0.79,136,5.67,20,0.83,0,0,0,0,0,0,0.06,0.06,0,0.06,4,0,0,0.17,0,0,0,27.5,0,0,0,0.03,-0.1,-0.1,1108,46.17,1343,82.5,16592,691.33,5061,210.88,607,686,88.5,390,460,84.8,63,107,58.9,1,-1.4,24,1,110,4.58,13,0.54,0,0,1271,52.96,72,3,58,1,0.04,2,0.08,2,0.08,14,0,0,24,43,1.79,42,0,0,1,0.04,89,46,44,35,10,48,124,5.17,29,1.21,0,1628,67.83,44,1.83,376,15.67,1010,42.08,254,10.58,5,0.21,1628,22,7,31.8,12,54.5,818,34.08,21,0.88,0,28,18,919,38.29,20,0,0,0,25,15,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Tosin Adarabioyo,6.96,12,23.2,eng ENG,DF,Fulham,24,1997,25,23,"2,085",1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16,0.69,95,4.09,3,0.13,0.04,0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,16,4,25,0.69,0.17,0.06,0.25,21.2,1,0,0,0.04,0.3,0.3,1066,45.95,1300,82,22623,975.13,8478,365.43,265,307,86.3,653,735,88.8,136,223,61,0.5,-0.4,6,0.26,96,4.14,7,0.3,0,0,1235,53.23,58,2.5,47,2,0.09,12,0.52,2,0.09,7,0,7,10,18,0.78,15,0,0,0,0,30,13,22,6,2,20,56,2.41,140,6.03,1,1544,66.55,231,9.96,776,33.45,732,31.55,46,1.98,19,0.82,1544,7,5,71.4,2,28.6,834,35.95,12,0.52,1,4,4,975,42.03,3,0,0,0,59,26,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Nayef Aguerd,6.84,35,17.7,ma MAR,DF,West Ham,26,1996,18,17,"1,595",2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,0.11,25,1.41,4,0.23,0.11,0,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15,12,2,16.7,0.68,0.11,0.17,1,9.9,0,0,0,0.19,-0.2,-0.2,599,33.84,763,78.5,12203,689.44,5332,301.24,224,244,91.8,287,335,85.7,82,169,48.5,0.3,-0.5,6,0.34,37,2.09,4,0.23,0,0,723,40.85,36,2.03,29,0,0,21,1.19,0,0,0,0,4,5,14,0.79,12,1,0,0,0,27,18,18,8,1,26,45,2.54,79,4.46,2,949,53.62,161,9.1,563,31.81,358,20.23,35,1.98,23,1.3,949,6,4,66.7,0,0,523,29.55,1,0.06,0,8,7,564,31.86,4,0,1,0,32,31,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Rayan Aït Nouri,6.7,25,12,dz ALG,DF,Wolves,21,2001,21,9,"1,076",1,0,1,1,0,0,4,0,0.7,0.7,1,1.7,30,2.5,43,3.58,76,6.33,0.08,0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,10,5,50,0.84,0.42,0.1,0.2,14.1,0,0,0,0.07,0.3,0.3,470,39.17,578,81.3,7079,589.92,2353,196.08,268,300,89.3,169,205,82.4,20,32,62.5,0.9,-1,7,0.58,29,2.42,14,1.17,5,0.42,487,40.58,89,7.42,5,0,0,2,0.17,21,1.75,81,3,2,18,23,1.93,14,2,4,0,0,33,20,25,7,1,3,42,3.5,28,2.33,0,740,61.67,40,3.33,240,20,279,23.25,233,19.42,28,2.33,740,50,28,56,18,36,395,32.92,13,1.08,10,28,12,454,37.83,76,0,1,1,14,17,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Kristoffer Ajer,6.35,16,8.5,no NOR,DF,Brentford,24,1998,9,9,763,0,0,0,0,0,0,0,0,0,0,0,0.1,10,1.18,31,3.65,12,1.41,0,0,0,0,0,0,0,0.01,0,0.01,1,0,0,0.12,0,0,0,6,0,0,0,0.04,0,0,259,30.47,345,75.1,4480,527.06,1887,222,131,159,82.4,102,128,79.7,23,40,57.5,0.1,0,1,0.12,20,2.35,3,0.35,1,0.12,293,34.47,51,6,7,0,0,4,0.47,6,0.71,44,0,1,8,4,0.47,4,0,0,0,0,11,8,5,4,2,6,18,2.12,22,2.59,0,412,48.47,45,5.29,184,21.65,167,19.65,64,7.53,9,1.06,412,7,1,14.3,4,57.1,213,25.06,5,0.59,0,3,8,231,27.18,12,0,1,0,15,11,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Manuel Akanji,7.03,38,25.4,ch SUI,DF,Manchester City,27,1995,29,24,"2,287",0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,0.94,116,4.57,17,0.67,0,0.04,0.04,0,0.04,0.05,0.02,0.07,0.05,0.07,15,2,13.3,0.59,0.08,0,0,15.9,0,0,0,0.09,-1.3,-1.3,1912,75.28,2056,93,32634,1284.8,10258,403.86,867,902,96.1,903,945,95.6,117,166,70.5,1,0.6,7,0.28,140,5.51,3,0.12,1,0.04,1999,78.7,55,2.17,28,0,0,8,0.31,6,0.24,27,0,2,8,23,0.91,22,0,0,0,0,36,25,15,18,3,27,52,2.05,33,1.3,0,2231,87.83,121,4.76,815,32.09,1248,49.13,176,6.93,34,1.34,2231,12,6,50,3,25,1544,60.79,40,1.57,1,12,3,1734,68.27,17,0,0,0,23,34,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Nathan Aké,7.17,42,20.8,nl NED,DF,Manchester City,27,1995,26,22,"1,873",1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,1.2,140,6.73,30,1.44,0.05,0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,9,2,22.2,0.43,0.1,0.11,0.5,10.5,0,0,0,0.17,-0.6,-0.6,1639,78.8,1813,90.4,26199,1259.57,8953,430.43,803,846,94.9,745,809,92.1,63,98,64.3,1.3,-0.7,9,0.43,165,7.93,9,0.43,1,0.05,1685,81.01,126,6.06,35,1,0.05,6,0.29,15,0.72,91,0,2,26,24,1.15,20,1,0,2,0.1,26,12,15,9,2,20,46,2.21,48,2.31,0,1959,94.18,86,4.13,615,29.57,1097,52.74,256,12.31,32,1.54,1959,5,3,60,1,20,1223,58.8,19,0.91,4,16,0,1492,71.73,30,0,0,0,36,23,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Marc Albrighton,6.66,1,2.6,eng ENG,FW,Leicester City,32,1989,6,1,237,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,1.54,7,2.69,18,6.92,0.38,0,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,2,1,50,0.76,0.38,0.5,1,8,0,0,0,0.17,0.7,0.7,89,34.23,148,60.1,1440,553.85,551,211.92,48,60,80,23,34,67.6,12,34,35.3,0.4,-0.9,6,2.31,6,2.31,5,1.92,2,0.77,130,50,17,6.54,1,1,0.38,0,0,28,10.77,7,7,1,10,7,2.66,5,2,0,0,0,4,1,0,2,2,6,5,1.92,5,1.92,0,173,66.54,6,2.31,33,12.69,61,23.46,79,30.38,5,1.92,173,2,2,100,0,0,83,31.92,4,1.54,0,4,2,116,44.62,18,0,0,0,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
